id,hash,rank,case,request_written,result_written,verdict_written,envelope_seconds,candidate_start,candidate_end
4b1c1330349b482c8a05231a908043bc,88c9623523c7529b0212b0df97b6893222aa36401a38e7b97d6848c018d80d7d,7,ibm16,1790092146.2913408,1790092148.6553385,1790092148.7433383,2.4509916070019244,,
483b4399fb03470c81367a14047254e7,1647bb9334e11092a0f1cbdbc8d22458cf1800e14e3d6fbb56f626f1f0d84d2c,7,ibm14,1790093743.509789,1790093745.8337867,1790093745.9097867,2.400549702000717,,
404c366160864150b161b6795ceb828d,6ff0f3b9b54a7e651ce353155100637850f642a45fb6052e92ad68aecf44aa96,7,ibm12,1790092742.5507612,1790092744.9747589,1790092745.0547588,2.500690681998094,,
a2d43bcc72c3496eac729b40070dfec3,a424618f603f80b51928ec680557c753663da5849367a337f36558ec75d5aba6,7,ibm04,1790091414.604052,1790091721.275754,1790091721.3597538,306.75463605000186,,
e58a0040db9041f8a36eca67f222674d,88187c305c1992dee2656e2dae83be491d22fbf81eee211027e079b6ea4d37e3,7,ibm03,1790091424.3640425,1790091734.2397413,1790091734.3197412,309.93547263500295,1790091424.5296915,1790091726.1172826
bb6b422028454e32b11ae56ee286a353,a59424d7f46b7442ac85e580be97cfe23e8cfb7b681c0c020f584aa2280c2c27,7,ibm09,1790091802.9916744,1790091817.81166,1790091817.90766,14.917776530000992,1790091803.214247,1790091805.3834937
b14998782a574177ac425a19ac4862f4,3296806f01af5b36194f2823388ea0cab7d01b04aa7484d7dbd9701837f0c7ac,7,ibm16,1790092864.8306422,1790092867.35864,1790092867.4306397,2.6007360039984633,,
a7dc6363cc944c72b33bf15a8f115397,7f30115daeb34c6172f8d7aedcf1272920c7c4df9865155a30cd2e4a6384f9d6,7,ibm10,1790090256.4612007,1790090258.7891984,1790090258.8931983,2.40383414399912,,
c1dac3ee71ba41fead7496a8bf410e57,31d1162e5b2b696810d13ca0daadba0510cc745a7495bc39da578c1e9226adff,7,ibm17,1790093307.830212,1790093310.2822096,1790093310.3822095,2.5508975900011137,,
24a78a16116f4fc7b682c8234776bed5,3f9cc880ff85e833dae86de74926c4cc21f65708175083e3db13db78b0eac029,7,ibm04,1790090191.9012632,1790090504.7289596,1790090504.8369596,312.93497411800126,1790090192.076734,1790090494.404487
0018cfd2514943bbab8eb32642a82818,eec32b8fb8fa94d8db2364ed84fb98a9ac2eb1a9f8b7427619f051e725c79c70,7,ibm09,1790093956.0695825,1790094270.5012772,1790094270.565277,314.47033824499886,1790093956.3019042,1790094257.4195943
0512b6aeadb845e1a6f134116fd8c4e3,6a0cb3aa861e96330686608ba3dd5a7bb843e4349028b836a961a4535edf3799,7,ibm06,1790093657.2138727,1790093965.2815735,1790093965.3695736,308.14042542699826,1790093657.374202,1790093954.504682
25d8f27da2714388b67b12abfcf6f45b,05d446c11767b1ecd84112bd9ea218c95491628773b9929f7d29551c219a4404,7,ibm10,1790093740.8817916,1790093743.2337892,1790093743.333789,2.4506914480007254,,
bf7f4c9568e347f981cdafaf4fa32af3,13e4c7a73c5fa7e8061ac4f59f5413cbdbe148cd04b75fb7a167befb07d3dc18,7,ibm14,1790090493.180971,1790090495.6809685,1790090495.7849684,2.6025667569992947,,
b95bb611be5e441c9771952d92a94ff1,77c04a829a3c2130c72b78c71baedb5749f177c1bb60735325264cba59bcbce4,7,ibm13,1790090619.0208488,1790090645.6328228,1790090645.7128227,26.68922329599809,1790090619.16891,1790090621.4886236
f34a00c5148641cba163a78762d65b2f,e92d9f37b6cc65ee105275f9d66dee4b09b7439956d9a643900c15f705d2bd88,7,ibm08,1790090497.244967,1790090808.6486647,1790090808.7366645,311.4908509960005,1790090497.491977,1790090789.661699
f3464e477505404982fc3793968cdfb1,3fd6e8fe35340f42be730344abd823d2a1ef813bc927dec75558819e321fd194,7,ibm17,1790092340.0151525,1790092342.2871501,1790092342.3751502,2.3509307149979577,,
638abe55143a41a5aef97d56159e8933,b92ee9a99cc34f6fa48ccf55a814dab7479ebfb0357dd7af2326f690b1aacf6d,7,ibm06,1790094197.685348,1790094509.8290448,1790094509.9170449,312.2293227689988,,
dd5badaec5d24d99a6a0724f9e6b23f6,dfdbdbb4e85f06542e40e679271b9a235bfd111246b895ef7be12419812a7379,7,ibm17,1790090358.5491016,1790090551.616914,1790090551.6809142,193.13099646299816,1790090358.798613,1790090432.8008058
dcdc5499809b4581b7368025183d982a,ca3d2838d90be1e955fe09bbdd3a34e0ca429cf9e82fe52a328881056bdad828,7,ibm10,1790093556.5339706,1790093631.4978979,1790093631.5898976,75.05252797900175,1790093556.767643,1790093571.5049603
0b42d6a6e2f148f5bb55ddb60329404d,77095be49b1388c31c78e95b66ec9bf79477c72650af0aebc90b74ab91abef64,7,ibm17,1790093745.8977866,1790093748.3857841,1790093748.4937842,2.551829910997185,,
a9a18bd8f62c4d8492dae616d849f324,eec32b8fb8fa94d8db2364ed84fb98a9ac2eb1a9f8b7427619f051e725c79c70,7,ibm16,1790093961.2535775,1790094334.1012156,1790094334.1812155,372.92560959899856,1790093961.5056536,1790094262.6272907
acb9b2d3edbe4657b1e4fba5fd208a5b,668967da21916e82cba104126d2bad890a5563cfb790b46d40178707cf7b6bb8,7,ibm15,1790090851.2126224,1790090853.6406198,1790090853.7166197,2.5014490829998977,,
de0f60f3aa7b4c078214b7ab10e41174,ef3b709704fff33221d803997f3d1a2d70f62f497736fccb8b84191ee12a10ca,7,ibm01,1790092346.9391458,1790092655.1508462,1790092655.2508461,308.3130092399988,1790092347.1184702,1790092648.9845653
875e6dc4b51640e099ec8770ab29e20d,cf1b8b3b312c94b77a703b211d45dacee792cf5cffe0cd075685a951e6d87489,7,ibm12,1790094016.9735234,1790094372.745178,1790094372.8651779,355.89377424600025,1790094017.135281,1790094318.3548446
6e1926abc6b34d70bfbf68952b6dfd7d,d265de309dbc88d10934ffcefa5baeb0884d3ae142bf2dfde39bbec08a7734bd,7,ibm17,1790094225.545321,1790094227.9053185,1790094227.9973185,2.4505942390023847,,
8d1ed6d2ccb248bc814ee28781ed072c,ec7eedebd38dd270e89cb3b04bf86d47b2b0a30b1f1c51c50711b06d732db60d,7,ibm03,1790091858.6396203,1790091860.9156182,1790091861.003618,2.35140953500013,,
714f9056f0a84f638b1783897f187c7c,7f30115daeb34c6172f8d7aedcf1272920c7c4df9865155a30cd2e4a6384f9d6,7,ibm13,1790090257.8171992,1790090260.2811968,1790090260.4011967,2.5831893290014705,,
0c30e2c66e9f4ada806e0128d2d5e869,3a708cc987f206234cc24822bd2c276237dd025e6f1f8711398a26e84222de0b,7,ibm12,1790094280.953267,1790094283.3892648,1790094283.4532647,2.5005087649988127,,
47acf55bb8074a96b1b4058dfec22a43,7f2e0d0d0f23d034078cbe14bd56aaa78a965fc91465e9bf661c643f078d4195,7,ibm02,1790094270.5692773,1790094273.1892745,1790094273.2532747,2.650866371997836,,
0cd31e6845b24acb9fe48becf2efe23d,25ab0723b8845ed53f99ae4c6db551c680a7ad8b46cf749d5f9ece787d1fa7a9,7,ibm04,1790094418.0971339,1790094420.6211314,1790094420.7011313,2.60238816600031,,
1d60921cf79f470fa66312476795d476,c299e5eb2b425f8dd410693979c7086186015453c797898ce36aba17407370e3,7,ibm08,1790093096.4824173,1790093098.950415,1790093099.0344148,2.55085642099948,,
74c173387bbb462fa40e611c21e2edfa,304173cc6519e5c95ff2dcc102773df49e2e6a34d2d7dec43666f8f624b2bb8d,7,ibm08,1790092344.7671478,1790092347.1151457,1790092347.2191455,2.451777325997682,,
a344d1a7934a44b784aaebdf40b8ce36,1d085e17b8d8016d2292271a6183b2c09c42e40f4c52bc991ce11b9ee757b640,7,ibm18,1790091279.0561838,1790091281.4561815,1790091281.5561812,2.5009253319985874,,
ba12c1fe0cef4d169fda258052fe5019,9fd46549383d567973cfd3373db4ceb845c70bde7920ad1db1871854c3d88220,7,ibm14,1790092825.022681,1790092827.3946786,1790092827.5026786,2.4824585740025213,,
